2022-09-22 20:02:07,869 server_msg:dicom/s11.nii.gz
2022-09-22 20:02:11,613 server_msg:0, (), (), ()
2022-09-22 20:02:11,771 server_msg:1, (), (), ()
2022-09-22 20:02:11,953 server_msg:2, (), (), ()
2022-09-22 20:02:12,138 server_msg:3, (), (), ()
2022-09-22 20:02:12,325 server_msg:4, (), (), ()
2022-09-22 20:02:12,524 server_msg:5, (), (), ()
2022-09-22 20:02:12,697 server_msg:6, (), (), ()
2022-09-22 20:02:12,878 server_msg:7, (), (), ()
2022-09-22 20:02:13,075 server_msg:8, (), (), ()
2022-09-22 20:02:13,274 server_msg:9, (), (), ()
2022-09-22 20:02:13,491 server_msg:10, (), (), ()
2022-09-22 20:02:13,689 server_msg:11, (), (), ()
2022-09-22 20:02:13,898 server_msg:12, (), (), ()
2022-09-22 20:02:14,096 server_msg:13, (), (), ()
2022-09-22 20:02:14,313 server_msg:14, (), (), ()
2022-09-22 20:02:14,563 server_msg:15, (), (), ()
2022-09-22 20:02:14,800 server_msg:16, (), (), ()
2022-09-22 20:02:15,048 server_msg:17, (), (), ()
2022-09-22 20:02:15,286 server_msg:18, (), (), ()
2022-09-22 20:02:15,488 server_msg:19, (), (), ()
2022-09-22 20:02:15,684 server_msg:20, (), (), ()
2022-09-22 20:02:15,850 server_msg:21, (), (), ()
2022-09-22 20:02:16,036 server_msg:22, (), (), ()
2022-09-22 20:02:16,225 server_msg:23, (), (), ()
2022-09-22 20:02:16,419 server_msg:24, (), (), ()
2022-09-22 20:02:16,618 server_msg:25, (), (), ()
2022-09-22 20:02:16,807 server_msg:26, (), (), ()
2022-09-22 20:02:17,005 server_msg:27, (), (), ()
2022-09-22 20:02:17,213 server_msg:28, (), (), ()
2022-09-22 20:02:17,455 server_msg:29, (), (), ()
2022-09-22 20:02:17,683 server_msg:30, (), (), ()
2022-09-22 20:02:17,934 server_msg:31, (), (), ()
2022-09-22 20:02:18,138 server_msg:32, (), (), ()
2022-09-22 20:02:18,338 server_msg:33, (), (), ()
2022-09-22 20:02:18,537 server_msg:34, (), (), ()
2022-09-22 20:02:18,747 server_msg:35, (), (), ()
2022-09-22 20:02:18,948 server_msg:36, (), (), ()
2022-09-22 20:02:19,137 server_msg:37, (), (), ()
2022-09-22 20:02:19,313 server_msg:38, (), (), ()
2022-09-22 20:02:19,491 server_msg:39, (), (), ()
2022-09-22 20:02:19,669 server_msg:40, (), (), ()
2022-09-22 20:02:19,835 server_msg:41, (), (), ()
2022-09-22 20:02:20,005 server_msg:42, (), (), ()
2022-09-22 20:02:20,177 server_msg:43, (), (), ()
2022-09-22 20:02:20,342 server_msg:44, (), (), ()
2022-09-22 20:02:20,517 server_msg:45, (), (), ()
2022-09-22 20:02:20,697 server_msg:46, (), (), ()
2022-09-22 20:02:20,876 server_msg:47, (), (), ()
2022-09-22 20:02:21,062 server_msg:48, (), (), ()
2022-09-22 20:02:21,242 server_msg:49, (), (), ()
2022-09-22 20:02:21,420 server_msg:50, (), (), ()
2022-09-22 20:02:21,596 server_msg:51, (), (), ()
2022-09-22 20:02:21,761 server_msg:52, (), (), ()
2022-09-22 20:02:21,932 server_msg:53, (), (), ()
2022-09-22 20:02:22,100 server_msg:54, (), (), ()
2022-09-22 20:02:22,298 server_msg:55, (), (), ()
2022-09-22 20:02:22,493 server_msg:56, (), (), ()
2022-09-22 20:02:22,690 server_msg:57, (), (), ()
2022-09-22 20:02:22,910 server_msg:58, (), (), ()
2022-09-22 20:02:23,112 server_msg:59, (), (), ()
2022-09-22 20:02:23,323 server_msg:60, (), (), ()
2022-09-22 20:02:23,548 server_msg:61, (), (), ()
2022-09-22 20:02:23,739 server_msg:62, (), (), ()
2022-09-22 20:02:23,945 server_msg:63, (), (), ()
2022-09-22 20:02:24,146 server_msg:64, (), (), ()
2022-09-22 20:02:24,352 server_msg:65, (), (), ()
2022-09-22 20:02:24,555 server_msg:66, (), (), ()
2022-09-22 20:02:24,772 server_msg:67, (), (), ()
2022-09-22 20:02:24,984 server_msg:68, (), (), ()
2022-09-22 20:02:25,192 server_msg:69, (), (), ()
2022-09-22 20:02:25,402 server_msg:70, (), (), ()
2022-09-22 20:02:25,614 server_msg:71, (), (), ()
2022-09-22 20:02:25,818 server_msg:72, (), (), ()
2022-09-22 20:02:26,022 server_msg:73, (), (), ()
2022-09-22 20:02:26,218 server_msg:74, (), (), ()
2022-09-22 20:02:26,411 server_msg:75, (), (), ()
2022-09-22 20:02:26,602 server_msg:76, (), (), ()
2022-09-22 20:02:26,803 server_msg:77, (), (), ()
2022-09-22 20:02:27,017 server_msg:78, (), (), ()
2022-09-22 20:02:27,226 server_msg:79, (), (), ()
2022-09-22 20:02:27,435 server_msg:80, (), (), ()
2022-09-22 20:02:27,636 server_msg:81, (), (), ()
2022-09-22 20:02:27,822 server_msg:82, (), (), ()
2022-09-22 20:02:28,023 server_msg:83, (), (), ()
2022-09-22 20:02:28,237 server_msg:84, (), (), ()
2022-09-22 20:02:28,448 server_msg:85, (), (), ()
2022-09-22 20:02:28,642 server_msg:86, (), (), ()
2022-09-22 20:02:28,849 server_msg:87, (), (), ()
2022-09-22 20:02:29,049 server_msg:88, (), (), ()
2022-09-22 20:02:29,248 server_msg:89, (), (), ()
2022-09-22 20:02:29,459 server_msg:90, (), (), ()
2022-09-22 20:02:29,667 server_msg:91, (), (), ()
2022-09-22 20:02:29,874 server_msg:92, (), (), ()
2022-09-22 20:02:30,066 server_msg:93, (), (), ()
2022-09-22 20:02:30,256 server_msg:94, (), (), ()
2022-09-22 20:02:30,452 server_msg:95, (), (), ()
2022-09-22 20:02:30,647 server_msg:96, (), (), ()
2022-09-22 20:02:30,858 server_msg:97, (), (), ()
2022-09-22 20:02:31,068 server_msg:98, (), (), ()
2022-09-22 20:02:31,284 server_msg:99, (), (), ()
2022-09-22 20:02:31,500 server_msg:100, (), (), ()
2022-09-22 20:02:31,707 server_msg:101, (), (), ()
2022-09-22 20:02:31,923 server_msg:102, (), (), ()
2022-09-22 20:02:32,104 server_msg:103, (), (), ()
2022-09-22 20:02:32,293 server_msg:104, (), (), ()
2022-09-22 20:02:32,489 server_msg:105, (), (), ()
2022-09-22 20:02:32,692 server_msg:106, (), (), ()
2022-09-22 20:02:32,921 server_msg:107, (), (), ()
2022-09-22 20:02:33,121 server_msg:108, (), (), ()
2022-09-22 20:02:33,327 server_msg:109, (), (), ()
2022-09-22 20:02:33,535 server_msg:110, (), (), ()
2022-09-22 20:02:33,732 server_msg:111, (), (), ()
2022-09-22 20:02:33,935 server_msg:112, (), (), ()
2022-09-22 20:02:34,128 server_msg:113, (), (), ()
2022-09-22 20:02:34,327 server_msg:114, (), (), ()
2022-09-22 20:02:34,527 server_msg:115, (), (), ()
2022-09-22 20:02:34,739 server_msg:116, (), (), ()
2022-09-22 20:02:34,958 server_msg:117, (), (), ()
2022-09-22 20:02:35,172 server_msg:118, (), (), ()
2022-09-22 20:02:35,390 server_msg:119, (), (), ()
2022-09-22 20:02:35,607 server_msg:120, (), (), ()
2022-09-22 20:02:35,832 server_msg:121, (), (), ()
2022-09-22 20:02:36,055 server_msg:122, (), (), ()
2022-09-22 20:02:36,250 server_msg:123, (), (), ()
2022-09-22 20:02:36,457 server_msg:124, (), (), ()
2022-09-22 20:02:36,650 server_msg:125, (), (), ()
2022-09-22 20:02:36,852 server_msg:126, (), (), ()
2022-09-22 20:02:37,055 server_msg:127, (), (), ()
2022-09-22 20:02:37,256 server_msg:128, (), (), ()
2022-09-22 20:02:37,466 server_msg:129, (), (), ()
2022-09-22 20:02:37,674 server_msg:130, (), (), ()
2022-09-22 20:02:37,880 server_msg:131, (), (), ()
